musique intrumentale ou avec parole,support écouté,station radio,genre musicale,période musicale,langue écouté,type de parole,frequence ecouté artiste émergent,tempo,fréquence en travaillant,fréquence en sport,fréquence en cuisine,fréquence en transport,fréquence en passant le temps,fréquence écoute mensuel,fréquence écoute journalier,genre,age,environnement,situation professionnel
les deux,plateforme de streaming;morceaux locaux,nan,techno,années 2020;années 2010;années 2000,francophone;anglophone,engagées,5,150.0,5,5,2,5,3,1,2,homme,21.0,je préfère ne pas répondre,salarié
avec des paroles,streaming,rtl,rap;pop,années 2020;années 2010;années 2000,anglophone,peu importe,2,120.0,3,5,3,4,4,1,2,homme,17.0,campagne,étudiant
les deux,streaming,nan,rock;metal,années 2020;années 2010;années 2000;années 90;années 70 - 90,anglophone;allemande,peu importe,1,120.0,4,5,5,5,5,1,1,homme,18.0,ville,étudiant
les deux,streaming,rtl;nrj,rap;pop,aucune préférence,francophone;anglophone;hispanique,peu importe,5,120.0,4,5,5,5,4,1,1,homme,20.0,ville,étudiant
les deux,streaming,nan,rock,aucune préférence,francophone;anglophone,peu importe,2,150.0,5,5,5,5,5,1,1,homme,21.0,campagne,salarié
instrumentaux,streaming,nrj,pop;electro;classical music,aucune préférence,francophone;anglophone,peu importe,2,,3,2,3,1,4,1,2,homme,20.0,ville,étudiant
les deux,plateforme de streaming;radio,rtl;fun radio,rock;pop,années 2000;années 90;années 70 - 90,francophone;anglophone,engagées,2,120.0,1,1,4,5,4,1,2,femme,55.0,campagne,salarié
les deux,streaming,nrj,rock;pop,années 2020;années 2010;années 2000;années 70 - 90,francophone;anglophone,peu importe,2,120.0,3,3,1,1,4,2,2,homme,18.0,ville,étudiant
les deux,streaming,nan,rock;rap;pop;electro;classical music,années 2020;années 2010;années 70 - 90,francophone;anglophone,peu importe,3,,3,2,2,4,4,1,2,homme,19.0,ville,étudiant
instrumentaux,plateforme de streaming;cd;dvd;vinyles,nan,jazz,aucune préférence,anglophone,poétiques,3,120.0,4,5,4,4,3,1,1,homme,29.21212121212121,ville,étudiant
les deux,plateforme de streaming;radio,rfm et fip,rock;pop,années 2020;années 70 - 90,francophone;anglophone;hispanique,peu importe,2,120.0,5,5,3,5,3,1,1,femme,55.0,banlieue,salarié
les deux,plateforme de streaming;cd;dvd;vinyles;,nan,rap;metal,années 2020;années 2010;années 2000,francophone;anglophone,peu importe,3,,4,4,4,1,1,1,2,homme,19.0,banlieue,étudiant
les deux,streaming,nan,electro,2020,francophone;anglophone;brésilienne,peu importe,2,120.0,4,5,4,4,5,1,2,homme,23.0,campagne,je préfère ne pas répondre
les deux,plateforme de streaming;cd;dvd;vinyles;mp3;et téléchargement,nan,no preferences,1970-1990,francophone;anglophone;hispanique;allemande;cyrillique;asiatique;brésilienne;tout,peu importe,5,120.0,5,5,5,5,5,1,1,homme,20.0,campagne,étudiant
les deux,streaming,rmn,pop,années 2020;années 2010;années 2000,anglophone,peu importe,2,,2,4,2,4,1,2,3,femme,29.21212121212121,ville,étudiant
instrumentaux,plateforme de streaming;cd;dvd;vinyles;concert;atelier de musique,nan,rock;jazz;electro;ost,années 2000;années 90;années 70 - 90;années 50 - 70,francophone;anglophone;hispanique;allemande;cyrillique;asiatique;brésilienne,peu importe,3,120.0,5,5,5,5,5,1,1,je préfère ne pas répondre,19.0,campagne,étudiant
avec des paroles,plateforme de streaming;cd;dvd;vinyles,nan,no preferences,années 2020;années 90;années 70 - 90,francophone;anglophone;asiatique,peu importe,2,120.0,5,5,1,5,2,1,2,femme,18.0,ville,étudiant
les deux,streaming,nan,electro,aucune préférence,anglophone,engagées,4,180.0,5,5,5,5,5,1,1,je préfère ne pas répondre,18.0,banlieue,étudiant
avec des paroles,plateforme de streaming;radio;cd;dvd;vinyles,nrj;skyrock;fun radio,pop,années 2020;années 2010;années 2000,anglophone,peu importe,1,120.0,2,2,3,5,4,1,2,femme,20.0,ville,étudiant
avec des paroles,plateforme de streaming;radio,nrj;oui fm,rock;pop,aucune préférence,anglophone;hispanique;asiatique,peu importe,1,120.0,3,2,5,1,5,1,2,homme,18.0,ville,étudiant
les deux,streaming,nan,techno,années 2020;années 2010;années 2000;années 90;années 70 - 90,francophone;anglophone,peu importe,2,150.0,4,5,3,5,4,1,1,homme,20.0,banlieue,salarié
les deux,plateforme de streaming;radio,tsf jazz,jazz;pop;electro;rock,aucune préférence,francophone;anglophone;hispanique,peu importe,4,150.0,1,1,3,5,4,1,2,homme,20.0,banlieue,étudiant
avec des paroles,youtube et réseaux sociaux,nan,pop;classical music,aucune préférence,anglophone,peu importe,1,120.0,3,1,1,1,3,2,3,femme,29.21212121212121,banlieue,étudiant
les deux,streaming,nrj;skyrock,rap;pop,années 2010;années 2000,francophone;anglophone;brésilienne,peu importe,3,120.0,4,5,5,5,5,1,1,homme,22.0,ville,salarié
avec des paroles,streaming,youtube,rock;electro;classical music,aucune préférence,francophone;anglophone;russe,peu importe,2,,3,4,4,5,4,1,2,homme,20.0,je préfère ne pas répondre,sans emploi
les deux,radio,skyrock;fun radio;m radio,no preferences,années 2020;années 2010;années 2000;années 90;années 70 - 90,francophone;brésilienne,peu importe,3,180.0,5,5,5,5,5,1,2,je préfère ne pas répondre,29.21212121212121,campagne,salarié
les deux,streaming,nan,rap;pop,années 2020;années 2010,francophone;anglophone;asiatique,engagées,5,90.0,2,1,2,5,3,1,3,homme,29.21212121212121,ville,étudiant
les deux,plateforme de streaming;radio,hit west,rock;pop;electro;metal,années 2010;années 2000;années 90,anglophone,peu importe,2,120.0,3,1,1,4,2,2,3,homme,18.0,campagne,étudiant
avec des paroles,streaming,nan,rock;rap,2010,francophone;anglophone,engagées,3,,4,5,5,5,3,1,2,homme,19.0,ville,étudiant
les deux,plateforme de streaming;radio,skyrock,rap;electro;tech ( uptempo,aucune préférence,francophone;anglophone,peu importe,1,,2,5,4,5,4,1,2,homme,18.0,banlieue,étudiant
les deux,plateforme de streaming;radio,nova;hit west,rock;pop;classical music,années 2020;années 70 - 90,francophone;anglophone,poétiques,4,90.0,4,4,4,5,4,1,2,homme,29.21212121212121,ville,étudiant
avec des paroles,streaming,skyrock,rap,années 2020;années 2010;années 2000,francophone,engagées,2,150.0,3,4,2,5,2,1,2,homme,20.0,campagne,sans emploi
les deux,streaming,skyrock;m radio,no preferences,années 2000;années 70 - 90,francophone,engagées,2,120.0,3,3,3,3,3,1,3,femme,47.0,campagne,sans emploi
les deux,streaming,nan,rock;rap;pop;electro;classical music,années 2020;années 2010;années 2000;années 70 - 90,francophone;anglophone;hispanique,peu importe,3,120.0,3,4,2,2,4,1,1,homme,29.21212121212121,je préfère ne pas répondre,étudiant
